title	sortkey	norminform	mime	desc	url	anchorid	namespace	ontology	type
Terms (SKOS)	a	normative	text/turtle	Defines the terms from NEN 2660-2:2021 as <code>skos:Concept</code>s.	/data/nen2660-skos.ttl	skos	nen2660-term:	https://w3id.org/nen2660/skos/term	skos:ConceptScheme
Classes and Properties (RDFS)	b	normative	text/turtle	Defines RDFS classes and properties for each SKOS term.	/data/nen2660-rdfs.ttl	rdfs	nen2660:	https://w3id.org/nen2660/rdfs/def	owl:Ontology
Classes and Properties (OWL)	c	normative	text/turtle	Defines OWL class and property types for the definitions in the RDFS file.	/data/nen2660-owl.ttl	owl	nen2660:	https://w3id.org/nen2660/owl/def	owl:Ontology
Shapes (SHACL)	d	normative	text/turtle	Defines SHACL shapes for the classes and properties in the RDFS file.	/data/nen2660-shacl.ttl	shacl	nen2660:	https://w3id.org/nen2660/shacl/def	owl:Ontology
All as TriG	e	informative	application/trig	This convenience file separates the constituent ontologies into graphs.	/data/concat/nen2660.trig	trig	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
All as JSON-LD	f	informative	application/ld+json	This convenience file in JSON-LD concatenates the constituent ontologies into a single file.	/data/concat/nen2660.json	jsonld	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
All as Turtle	g	informative	text/turtle	This convenience file combines the constituent ontologies into a single graph.	/data/concat/nen2660.ttl	turtle	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
All as RDF/XML	h	informative	application/rdf+xml	This convenience file in RDF/XML concatenates the constituent ontologies into a single file.	/data/concat/nen2660.rdf	rdfxml	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
IJsselbrug	i	example	text/turtle	This example file contains a model of a bridge (IJsselbrug).	/data/examples/ijsselbrug.ttl	ex1	nen2660:</code><br> <code>nen2660-term:		
Liggerbrug	j	example	text/turtle	This example file contains a model of a bridge (liggerbrug).	/data/examples/liggerbrug.ttl	ex2	nen2660:</code><br> <code>nen2660-term:		
Wegennetwerk	k	example	text/turtle	This example file contains a model of a road network.	/data/examples/wegennetwerk.ttl	ex3	nen2660:</code><br> <code>nen2660-term:		
Ziekenhuis	l	example	text/turtle	This example file contains a model of a hospital.	/data/examples/ziekenhuis.ttl	ex4	nen2660:</code><br> <code>nen2660-term:		
